breed,temperament,group,shedding_category,grooming_frequency_category,energy_level_category,trainability_category,demeanor_category
Portuguese Pointer,"Affectionate, Smart, Energetic",Foundation Stock Service,Occasional,Occasional Bath/Brush,Energetic,Eager to Please,Friendly
Portuguese Sheepdog,"Intelligent, Devoted, Lively",Foundation Stock Service,Occasional,Weekly Brushing,Energetic,,
Portuguese Water Dog,"Affectionate, Adventurous, Athletic",Working Group,Seasonal,Daily Brushing,Energetic,Easy Training,Alert/Responsive
Pudelpointer,"Friendly, Smart, Willing to Please",Foundation Stock Service,Seasonal,Occasional Bath/Brush,Regular Exercise,,
Pug,"Charming, Mischievous, Loving",Toy Group,Regularly,Weekly Brushing,Regular Exercise,Agreeable,Friendly
Puli,"Loyal, Smart, Home-Loving",Herding Group,Infrequent,Specialty/Professional,Regular Exercise,Independent,Reserved with Strangers
Pumi,"Energetic, Lively, Ready to Work",Herding Group,Infrequent,Occasional Bath/Brush,Energetic,Easy Training,Alert/Responsive
Pyrenean Mastiff,"Gentle, Brave, Noble",Foundation Stock Service,Seasonal,2-3 Times a Week Brushing,Calm,,
Pyrenean Shepherd,"Affectionate, Active, Enthusiastic",Herding Group,Seasonal,Weekly Brushing,Energetic,Agreeable,Reserved with Strangers
Rafeiro do Alentejo,"Confident, Calm, Powerful",Foundation Stock Service,Seasonal,Weekly Brushing,Calm,,
Rat Terrier,"Friendly, Inquisitive, Lovable",Terrier Group,Seasonal,Weekly Brushing,Regular Exercise,Easy Training,Friendly
Redbone Coonhound,"Even-Tempered, Amiable, Eager to Please",Hound Group,Seasonal,Weekly Brushing,Regular Exercise,Easy Training,Friendly
Rhodesian Ridgeback,"Affectionate, Dignified, Even-Tempered",Hound Group,Seasonal,Weekly Brushing,Regular Exercise,Independent,Alert/Responsive
Romanian Mioritic Shepherd Dog,"Loyal, Independent, Confident Guardian",Foundation Stock Service,Occasional,Weekly Brushing,Regular Exercise,Independent,Aloof/Wary
Rottweiler,"Loyal, Loving, Confident Guardian",Working Group,Seasonal,Weekly Brushing,Regular Exercise,Agreeable,Reserved with Strangers
Russell Terrier,"Alert, Inquisitive, Lively",Terrier Group,Occasional,Weekly Brushing,Needs Lots of Activity,Agreeable,Friendly
Russian Toy,"Loyal, Smart, Charming",Miscellaneous Class,Infrequent,Weekly Brushing,Regular Exercise,Agreeable,Friendly
Russian Tsvetnaya Bolonka,"Playful, Charming, Inquisitive",Foundation Stock Service,Infrequent,2-3 Times a Week Brushing,Regular Exercise,Agreeable,Friendly
Saint Bernard,"Playful, Charming, Inquisitive",Working Group,Seasonal,Weekly Brushing,Regular Exercise,Agreeable,Friendly
Saluki,"Gentle, Dignified, Independent-Minded",Hound Group,Occasional,Occasional Bath/Brush,Energetic,Independent,Reserved with Strangers
Samoyed,"Adaptable, Friendly, Gentle",Working Group,Seasonal,2-3 Times a Week Brushing,Energetic,Independent,Friendly
Schapendoes,"Friendly, Watchful, Lively",Foundation Stock Service,Seasonal,Weekly Brushing,Regular Exercise,Easy Training,Alert/Responsive
Schipperke,"Confident, Alert, Curious",Non-Sporting Group,Seasonal,Weekly Brushing,Energetic,Independent,Alert/Responsive
Scottish Deerhound,"Gentle, Dignified, Polite",Hound Group,Seasonal,Occasional Bath/Brush,Regular Exercise,Independent,Alert/Responsive
Scottish Terrier,"Confident, Independent, Spirited",Terrier Group,Occasional,2-3 Times a Week Brushing,Regular Exercise,Independent,Alert/Responsive
Sealyham Terrier,"Alert, Outgoing, Sense Of Humor",Terrier Group,Seasonal,2-3 Times a Week Brushing,Regular Exercise,Independent,Alert/Responsive
Segugio Italiano,"Friendly, Intelligent, Eager to Please",Foundation Stock Service,Seasonal,Weekly Brushing,,Eager to Please,
Shetland Sheepdog,"Playful, Energetic, Bright",Herding Group,Seasonal,2-3 Times a Week Brushing,Regular Exercise,Eager to Please,Reserved with Strangers
Shiba Inu,"Alert, Active, Attentive",Non-Sporting Group,Seasonal,Weekly Brushing,Regular Exercise,Independent,Reserved with Strangers
Shih Tzu,"Affectionate, Playful, Outgoing",Toy Group,Infrequent,Daily Brushing,Regular Exercise,Agreeable,Friendly
Shikoku,"Energetic, Alert, Enthusiastic",Foundation Stock Service,,Weekly Brushing,Regular Exercise,,
Siberian Husky,"Loyal, Mischievous, Outgoing",Working Group,Seasonal,Weekly Brushing,Energetic,Independent,Friendly
Silky Terrier,"Friendly, Quick, Keenly Alert",Toy Group,Occasional,2-3 Times a Week Brushing,Regular Exercise,Agreeable,Alert/Responsive
Skye Terrier,"Courageous, Good-Tempered, Canny",Terrier Group,Seasonal,Daily Brushing,Regular Exercise,Independent,Reserved with Strangers
Sloughi,"Reserved, Graceful, Noble",Hound Group,Infrequent,Weekly Brushing,Regular Exercise,Independent,Reserved with Strangers
Slovakian Wirehaired Pointer,,Foundation Stock Service,Occasional,Occasional Bath/Brush,Energetic,Independent,Outgoing
Slovensky Cuvac,"Courageous, Alert, Faithful",Foundation Stock Service,Regularly,Weekly Brushing,Calm,,
Slovensky Kopov,"Courageous, Alert, Determined",Foundation Stock Service,Seasonal,Occasional Bath/Brush,Regular Exercise,,
Small Munsterlander Pointer,"Intelligent, Devoted, Self-Confident",Foundation Stock Service,Seasonal,Occasional Bath/Brush,Needs Lots of Activity,Agreeable,Friendly
Smooth Fox Terrier,"Friendly, Independent, Amusing",Terrier Group,Occasional,Weekly Brushing,Energetic,Agreeable,Friendly
Soft Coated Wheaten Terrier,"Friendly, Happy, Deeply Devoted",Terrier Group,Infrequent,2-3 Times a Week Brushing,Energetic,Independent,Alert/Responsive
Spanish Mastiff,"Affectionate, Intelligent, Kind",Foundation Stock Service,Seasonal,,Calm,,
Spanish Water Dog,Playful but also Work-Oriented. Very Active and Upbeat.,Herding Group,Infrequent,Specialty/Professional,Energetic,Eager to Please,Reserved with Strangers
Spinone Italiano,"Sociable, Patient, Docile",Sporting Group,,Weekly Brushing,Energetic,Agreeable,Alert/Responsive
Stabyhoun,"Intelligent, Responsive, Loving",Foundation Stock Service,Seasonal,Occasional Bath/Brush,Energetic,Easy Training,Alert/Responsive
Staffordshire Bull Terrier,"Clever, Brave, Tenacious",Terrier Group,Occasional,Weekly Brushing,Energetic,May be Stubborn,Friendly
Standard Schnauzer,"Fearless, Smart, Spirited",Working Group,Infrequent,2-3 Times a Week Brushing,Regular Exercise,Independent,Friendly
Sussex Spaniel,"Friendly, Merry, Even-Tempered",Sporting Group,Seasonal,2-3 Times a Week Brushing,Regular Exercise,Independent,Reserved with Strangers
Swedish Lapphund,"Playful, Intelligent, Lively",Foundation Stock Service,Seasonal,Weekly Brushing,Regular Exercise,May be Stubborn,Alert/Responsive
Swedish Vallhund,"Friendly, Energetic, Watchful",Herding Group,Seasonal,Occasional Bath/Brush,Needs Lots of Activity,Eager to Please,Friendly
Taiwan Dog,"Loyal, Versatile, Intelligent",Foundation Stock Service,Seasonal,Weekly Brushing,Needs Lots of Activity,Easy Training,Reserved with Strangers
Teddy Roosevelt Terrier,"Playful, Versatile, Intelligent",Miscellaneous Class,Seasonal,Weekly Brushing,Energetic,Eager to Please,Friendly
Thai Ridgeback,"Loyal, Independent, Agile",Foundation Stock Service,Seasonal,Occasional Bath/Brush,Energetic,Independent,Reserved with Strangers
Tibetan Mastiff,"Independent, Reserved, Intelligent",Working Group,Seasonal,2-3 Times a Week Brushing,Regular Exercise,Independent,Alert/Responsive
Tibetan Spaniel,"Playful, Bright, Self-Confident",Non-Sporting Group,Seasonal,Weekly Brushing,Calm,Agreeable,Alert/Responsive
Tibetan Terrier,"Affectionate, Loyal, Sensitive",Non-Sporting Group,Seasonal,2-3 Times a Week Brushing,Energetic,Independent,Reserved with Strangers
Tornjak,"Friendly, Courageous, Intelligent",Foundation Stock Service,,,,Easy Training,Alert/Responsive
Tosa,"Fearless, Patient, Vigilant",Foundation Stock Service,Occasional,Occasional Bath/Brush,Calm,Agreeable,Reserved with Strangers
Toy Fox Terrier,"Friendly, Alert, Intelligent",Toy Group,Occasional,Weekly Brushing,Energetic,Eager to Please,Friendly
Transylvanian Hound,"Courageous, Good-Natured, Determined",Foundation Stock Service,,Weekly Brushing,Needs Lots of Activity,May be Stubborn,
Treeing Tennessee Brindle,"Friendly, Alert, Intelligent",Foundation Stock Service,Occasional,Weekly Brushing,Regular Exercise,,
Treeing Walker Coonhound,"Smart, Brave, Courteous",Hound Group,Seasonal,Occasional Bath/Brush,Regular Exercise,Independent,Friendly
Vizsla,"Affectionate, Gentle, Energetic",Sporting Group,Seasonal,Weekly Brushing,Energetic,Eager to Please,Friendly
Weimaraner,"Friendly, Fearless, Obedient",Sporting Group,Seasonal,Weekly Brushing,Needs Lots of Activity,Eager to Please,Friendly
Welsh Springer Spaniel,"Happy, Reserved, Upbeat",Sporting Group,,Weekly Brushing,Energetic,Easy Training,Friendly
Welsh Terrier,"Friendly, Spirited, Intelligent",Terrier Group,Occasional,2-3 Times a Week Brushing,Energetic,Agreeable,Outgoing
West Highland White Terrier,"Loyal, Happy, Entertaining",Terrier Group,Seasonal,Daily Brushing,Regular Exercise,Agreeable,Friendly
Wetterhoun,"Loyal, Good-Natured, Intelligent",Foundation Stock Service,Occasional,Occasional Bath/Brush,Regular Exercise,May be Stubborn,Reserved with Strangers
Whippet,"Affectionate, Playful, Calm",Hound Group,Occasional,Occasional Bath/Brush,Regular Exercise,Independent,Reserved with Strangers
Wire Fox Terrier,"Confident, Alert, Gregarious",Terrier Group,Infrequent,Weekly Brushing,Regular Exercise,Agreeable,Alert/Responsive
Wirehaired Pointing Griffon,"Friendly, Devoted, Trainable",Sporting Group,Seasonal,Weekly Brushing,Needs Lots of Activity,Agreeable,Alert/Responsive
Wirehaired Vizsla,"Gentle, Loyal, Trainable",Sporting Group,Seasonal,Occasional Bath/Brush,Energetic,Agreeable,Alert/Responsive
Working Kelpie,"Alert, Eager, Intelligent",Foundation Stock Service,Seasonal,Occasional Bath/Brush,Energetic,Independent,Alert/Responsive
Xoloitzcuintli,"Loyal, Alert, Calm",Non-Sporting Group,Infrequent,Occasional Bath/Brush,Energetic,Agreeable,Alert/Responsive
Yakutian Laika,"Affectionate, Intelligent, Active",Foundation Stock Service,Seasonal,Weekly Brushing,Energetic,May be Stubborn,Reserved with Strangers
Yorkshire Terrier,"Affectionate, Sprightly, Tomboyish",Toy Group,Infrequent,Specialty/Professional,Regular Exercise,May be Stubborn,Friendly
